,time,lat,lon,geoaltitude,signature
3417,1645233285,26.27403647212659,-98.5299858680138,8267.7,0
3418,1645233286,26.273477845272776,-98.53146479679987,8267.7,0
3419,1645233287,26.272933959960938,-98.5328012142541,8267.7,0
3420,1645233288,26.2723388671875,-98.53425223872347,8267.7,0
3421,1645233289,26.271743774414062,-98.53575508549528,8267.7,0
3422,1645233290,26.27124333785752,-98.53706359863281,8267.7,0
3423,1645233291,26.270638158765887,-98.53854252741888,8267.7,0
3424,1645233292,26.26980021848517,-98.54060246394232,8267.7,0
3425,1645233293,26.269546508789062,-98.54135189416274,8267.7,0
3426,1645233294,26.268951416015625,-98.54280291863205,8267.7,0
3427,1645233295,26.268170890161546,-98.5447223369892,8267.7,0
3428,1645233296,26.267623901367188,-98.5460159013856,8267.7,0
3429,1645233297,26.267074584960938,-98.54751874815742,8267.7,0
3430,1645233298,26.266541561837922,-98.54884221003607,8267.7,0
3431,1645233299,26.26593638274629,-98.55032113882208,8267.7,0
3432,1645233300,26.265426635742188,-98.55161271005306,8267.7,0
3433,1645233301,26.265060424804688,-98.55249368919516,8267.7,0
3434,1645233302,26.264007568359375,-98.55513662662145,8267.7,0
3435,1645233303,26.264007568359375,-98.55513662662145,8267.7,0
3436,1645233304,26.26318359375,-98.55720951872053,8267.7,0
3437,1645233305,26.262588500976562,-98.55866054318983,8267.7,0
3438,1645233306,26.26197944253178,-98.56030390812799,8267.7,0
3439,1645233307,26.261374263440146,-98.56178283691406,8267.7,0
3440,1645233308,26.260711669921875,-98.5633763727152,8267.7,0
3441,1645233309,26.26025390625,-98.56456828567218,8267.7,0
3442,1645233310,26.259372517213983,-98.56674781212439,8267.7,0
3443,1645233311,26.258743286132812,-98.56835131375294,8267.7,0
3444,1645233312,26.258441472457626,-98.56912466195911,8267.7,0
3445,1645233313,26.257781982421875,-98.57073513966685,8267.7,0
3446,1645233314,26.25727766651218,-98.572029700646,8267.7,0
3447,1645233315,26.256637573242188,-98.57363718860552,8267.7,0
3448,1645233316,26.25604248046875,-98.57514003537733,8267.7,0
3449,1645233317,26.255508681475106,-98.57646648700421,8267.7,0
3450,1645233318,26.254903502383474,-98.57789259690503,8267.7,0
3451,1645233319,26.254437980005296,-98.57910743126502,8267.7,0
3452,1645233320,26.253662109375,-98.58099595555717,8267.7,0
3453,1645233321,26.253134517346396,-98.58232938326319,8267.7,0
3454,1645233322,26.252517700195312,-98.58389800449584,8267.7,0
3455,1645233323,26.251922607421875,-98.58540085126765,8267.7,0
3456,1645233324,26.251327514648438,-98.58685187573701,8267.7,0
3457,1645233325,26.250961303710938,-98.5877328548791,8267.7,0
3458,1645233326,26.2503662109375,-98.58918387934847,8267.7,0
3459,1645233327,26.250045776367188,-98.59006485849056,8267.7,0
3460,1645233328,26.249131024894066,-98.5922593336839,8267.7,0
3461,1645233329,26.248572398040253,-98.59373826246997,8267.7,0
3462,1645233330,26.24796721894862,-98.59516437237079,8267.7,0
3463,1645233331,26.247036174192267,-98.5975412222055,8267.7,0
3464,1645233332,26.246475219726562,-98.59882282760907,8267.7,0
3465,1645233333,26.245965472722457,-98.60018216646631,8267.7,0
3466,1645233334,26.245651245117188,-98.60089571970815,8267.7,0
3467,1645233335,26.245651245117188,-98.60089571970815,8267.7,0
3468,1645233336,26.244429248874468,-98.6039851262019,8267.7,0
3469,1645233337,26.24382406978284,-98.60541123610278,8267.7,0
3470,1645233338,26.243179321289062,-98.60701075140037,8267.7,0
3471,1645233339,26.24233439817267,-98.60921419583832,8267.7,0
3472,1645233340,26.242034912109375,-98.60996462264148,8267.7,0
3473,1645233341,26.242034912109375,-98.60996462264148,8267.7,0
3474,1645233342,26.240891278800316,-98.61275306114783,8267.7,0
3475,1645233343,26.240286099708687,-98.61417917104865,8267.7,0
3476,1645233344,26.240286099708687,-98.61417917104865,8267.7,0
3477,1645233345,26.239029189287606,-98.61740112304688,8267.7,0
3478,1645233346,26.238191249006885,-98.61946105957031,8267.7,0
3479,1645233347,26.238191249006885,-98.61946105957031,8267.7,0
3480,1645233348,26.23726020425053,-98.62178509051984,8267.7,0
3481,1645233349,26.23726020425053,-98.62178509051984,8267.7,0
3482,1645233350,26.235992431640625,-98.62483762345221,8267.7,0
3483,1645233351,26.235397338867188,-98.62634047022402,8267.7,0
3484,1645233352,26.23480224609375,-98.62779149469338,8267.7,0
3485,1645233353,26.234187756554554,-98.62939100999097,8267.7,0
3486,1645233354,26.23388671875,-98.63012349830484,8267.7,0
3487,1645233355,26.233062744140625,-98.63219639040386,8267.7,0
3488,1645233356,26.232467651367188,-98.63359559257077,8267.7,0
3489,1645233357,26.23187255859375,-98.63504661704008,8267.7,0
3490,1645233358,26.231277465820312,-98.63654946381189,8267.7,0
3491,1645233359,26.230649786480402,-98.63815894493689,8267.7,0
3492,1645233360,26.23004460738877,-98.63958505483771,8267.7,0
3493,1645233361,26.229766845703125,-98.64033249189265,8267.7,0
3494,1645233362,26.229253219345868,-98.64164499136115,8267.7,0
3495,1645233363,26.228648040254235,-98.64312392014722,8267.7,0
3496,1645233364,26.227810099973517,-98.64518385667066,8267.7,0
3497,1645233365,26.22748423430879,-98.64602895883411,8267.7,0
3498,1645233366,26.226506637314618,-98.64840580866888,8267.7,0
3499,1645233367,26.22601318359375,-98.64971232864093,8267.7,0
3500,1645233368,26.225418090820312,-98.65116335311023,8267.7,0
3501,1645233369,26.224822998046875,-98.65266619988205,8267.7,0
