,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature,icao24,trip_number
1931,1645988075,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1932,1645988076,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1933,1645988077,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1934,1645988078,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1935,1645988079,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1936,1645988080,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1937,1645988081,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1938,1645988082,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1939,1645988083,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1940,1645988084,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1941,1645988085,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1942,1645988086,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1943,1645988087,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1944,1645988088,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1945,1645988089,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1946,1645988090,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1947,1645988091,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1948,1645988092,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1949,1645988093,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1950,1645988094,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1951,1645988095,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1952,1645988096,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1953,1645988097,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1954,1645988098,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1955,1645988099,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1956,1645988100,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1957,1645988101,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1958,1645988102,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1959,1645988103,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1960,1645988104,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1961,1645988105,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1962,1645988106,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1963,1645988107,27.036575317382812,-99.8591412238355,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1964,1645988108,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1965,1645988109,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1966,1645988110,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1967,1645988111,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1968,1645988112,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1969,1645988113,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1970,1645988114,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1971,1645988115,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1972,1645988116,27.035072455971928,-99.8602294921875,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1973,1645988117,27.02278266518803,-99.86920870267429,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1974,1645988118,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1975,1645988119,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1976,1645988120,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1977,1645988121,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1978,1645988122,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1979,1645988123,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1980,1645988124,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1981,1645988125,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1982,1645988126,27.021432650291313,-99.87021226149339,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1983,1645988127,27.009142859507413,-99.87919147198018,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1984,1645988128,27.006546020507812,-99.88106205778303,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1985,1645988129,27.00588420286017,-99.88156832181488,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1986,1645988130,27.00588420286017,-99.88156832181488,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1987,1645988131,27.00588420286017,-99.88156832181488,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1988,1645988132,27.002471923828125,-99.88406775132665,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1989,1645988133,27.002471923828125,-99.88406775132665,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1990,1645988134,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1991,1645988135,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1992,1645988136,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1993,1645988137,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1994,1645988138,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1995,1645988139,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,1,0d02a8,2
1996,1645988140,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1997,1645988141,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
1998,1645988142,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,1,0d02a8,2
1999,1645988143,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,1,0d02a8,2
2000,1645988144,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2001,1645988145,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2002,1645988146,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2003,1645988147,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2004,1645988148,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2005,1645988149,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2006,1645988150,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2007,1645988151,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2008,1645988152,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2009,1645988153,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2010,1645988154,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2011,1645988155,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2012,1645988156,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2013,1645988157,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2014,1645988158,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2015,1645988159,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2016,1645988160,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2017,1645988161,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2018,1645988162,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2019,1645988163,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2020,1645988164,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2021,1645988165,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2022,1645988166,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2023,1645988167,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2024,1645988168,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2025,1645988169,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2026,1645988170,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2027,1645988171,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2028,1645988172,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2029,1645988173,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2030,1645988174,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2031,1645988175,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2032,1645988176,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2033,1645988177,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2034,1645988178,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2035,1645988179,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2036,1645988180,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2037,1645988181,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2038,1645988182,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2039,1645988183,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2040,1645988184,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2041,1645988185,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2042,1645988186,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2043,1645988187,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2044,1645988188,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2045,1645988189,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2046,1645988190,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2047,1645988191,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2048,1645988192,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2049,1645988193,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2050,1645988194,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2051,1645988195,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2052,1645988196,26.998482397047137,-99.88695584810694,181.35446185094887,213.19420769941095,7924.8,8343.9,0,0d02a8,2
2053,1645988197,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,1,0d02a8,2
2054,1645988198,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,0,0d02a8,2
2055,1645988199,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,0,0d02a8,2
2056,1645988200,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,0,0d02a8,2
2057,1645988201,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,0,0d02a8,2
2058,1645988202,26.998482397047137,-99.88695584810694,181.78517689037972,213.1054370052746,7924.8,8343.9,1,0d02a8,2
