,time,lat,lon,velocity,heading,flight_number,signature
2705,1645465649,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2706,1645465650,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2707,1645465651,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2708,1645465652,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2709,1645465653,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2710,1645465654,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2711,1645465655,42.88536072,-73.15457366,61.84678204,11.02953122,0,0
2712,1645465656,42.89500091,-73.15226964,61.84678204,11.02953122,0,0
2713,1645465657,42.89500091,-73.15226964,63.68517521,9.766679396,0,0
2714,1645465658,42.89500091,-73.15226964,63.68517521,9.766679396,0,0
2715,1645465659,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2716,1645465660,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2717,1645465661,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2718,1645465662,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2719,1645465663,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2720,1645465664,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2721,1645465665,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2722,1645465666,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2723,1645465667,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2724,1645465668,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2725,1645465669,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2726,1645465670,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2727,1645465671,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2728,1645465672,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2729,1645465673,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2730,1645465674,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2731,1645465675,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2732,1645465676,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2733,1645465677,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2734,1645465678,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2735,1645465679,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2736,1645465680,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2737,1645465681,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2738,1645465682,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2739,1645465683,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2740,1645465684,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2741,1645465685,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2742,1645465686,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2743,1645465687,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2744,1645465688,42.89658369,-73.15187727,63.68517521,9.766679396,0,0
2745,1645465689,42.89658369,-73.15187727,63.56246563,11.67371031,0,0
2746,1645465690,42.89658369,-73.15187727,63.56246563,11.67371031,0,0
2747,1645465691,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2748,1645465692,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2749,1645465693,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2750,1645465694,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2751,1645465695,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2752,1645465696,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
2753,1645465697,42.91465759,-73.1471004,63.66855048,12.12709103,0,0
